"Key","Id","English(en)","Russian(ru)"
"FLY7.002.name","FLY7.002","Culex turtur (shadow walker)","Culex turtur (теневой странник)"
"FLY7.002.description","FLY7.002","purple-yellow wings, blue hat","фиолетово-жёлтые крылья, синяя шляпа"
"FLY7.003.name","FLY7.003","Culex turtur (stephano)","Culex turtur (Стефано)"
"FLY7.003.description","FLY7.003","brown hat, blue-purple wings","коричневая шляпа, сине-фиолетовые крылья"
"FLY7.004.name","FLY7.004","Culex turtur (avanger)","Culex turtur (мститель)"
"FLY7.004.description","FLY7.004","white hat, most of the bug is teal","белая шляпа, жук в основном бирюзовый"
"FLY8.name","FLY8","Lepus Volant (the basis bunny)","Lepus Volant (основной кролик)"
"FLY8.description","FLY8","most of the bug is white","весь жук белый"
"FLY8.001.name","FLY8.001","Lepus Volant (freeze-bunny)","Lepus Volant (ледяной кролик)"
"FLY8.001.description","FLY8.001","most of the bug is blue","весь жук синий"
"FLY8.002.name","FLY8.002","Lepus Volant (shadow tyrant)","Lepus Volant (теневой тиран)"
"FLY8.002.description","FLY8.002","most of the bug is deep-blue, red-orange spine","жук в основном тёмно-синий, красно-оранжевый хребет"
"FLY8.003.name","FLY8.003","Lepus Volant (Lucaris)","Lepus Volant (Лукарис)"
"FLY8.003.description","FLY8.003","Blue ears, red spune","синие уши, красный хребет"
"FLY8.004.name","FLY8.004","Lepus Volant (young turtle)","Lepus Volant (юная черепаха)"
"FLY8.004.description","FLY8.004","most of the bug is light green, blue spine","жук в основном светло-зелёный, синий хребет"
"FLY9.name","FLY9","Volare Umbrella (salad)","Volare Umbrella (салат)"
"FLY9.description","FLY9","green and white center, light blue spine","зелёно-белый центр, голубой хребет"
"FLY9.001.name","FLY9.001","Volare Umbrella (royal blue)","Volare Umbrella (королевский синий)"
"FLY9.001.description","FLY9.001","golden center, blue spine","золотой центр, синий хребет"
"FLY9.002.name","FLY9.002","Volare Umbrella (tropical hunter)","Volare Umbrella (тропический охотник)"
"FLY9.002.description","FLY9.002","black and purple center, light-green spine","чёрно-фиолетовый центр, светло-зелёный хребет"
"FLY9.003.name","FLY9.003","Volare Umbrella (the saint)","Volare Umbrella (святая)"
"FLY9.003.description","FLY9.003","light-blue and light-yellow center, orange spine","светло-голубой и светло-жёлтый центр, оранжевый хребет"
"FLY9.004.name","FLY9.004","Volare Umbrella (chameleon)","Volare Umbrella (хамелеон)"
"FLY9.004.description","FLY9.004","white-teal center, light-teal spine","бело-бирюзовый центр, светло-бирюзовый хребет"
"FLY10.name","FLY10","Sciurus culex (the rabbit)","Sciurus culex (кролик)"
"FLY10.description","FLY10","brown body, grey spine","коричневое тело, серый хребет"
"FLY10.001.name","FLY10.001","Sciurus culex (arctic fellow)","Sciurus culex (арктический товарищ)"
"FLY10.001.description","FLY10.001","blue and white body, blue dot","сине-белое тело, синяя точка"
"FLY10.002.name","FLY10.002","Sciurus culex (swamp keeper)","Sciurus culex (болотный хранитель)"
"FLY10.002.description","FLY10.002","white-purple body, orange spine","бело-фиолетовое тело, оранжевый хребет"
"FLY10.003.name","FLY10.003","Sciurus culex (magma-bug)","Sciurus culex (магма-жук)"
"FLY10.003.description","FLY10.003","orange body, pink spine, white dot","оранжевое тело, розовый хребет, белая точка"
"FLY10.004.name","FLY10.004","Sciurus culex (the trickster)","Sciurus culex (трюкач)"
"FLY10.004.description","FLY10.004","pink body, most of the bug is emerald","розовое тело, жук в основном изумрудный"
"FLY11.name","FLY11","Regia Vesparum (the candybar)","Regia Vesparum (шоколадка)"
"FLY11.description","FLY11","teal and pink body, purple horns","бирюзово-розовое тело, фиолетовые рога"
"FLY11.001.name","FLY11.001","Regia Vesparum (snow-white)","Regia Vesparum (белоснежка)"
"FLY11.001.description","FLY11.001","most of the bug is white","весь жук белый"
"FLY11.002.name","FLY11.002","Regia Vesparum (baboon)","Regia Vesparum (бабуин)"
"FLY11.002.description","FLY11.002","green and brown body, deep green horns","зелёно-коричневое тело, тёмно-зелёные рога"
"FLY11.003.name","FLY11.003","Regia Vesparum (god-bug)","Regia Vesparum (бог-жук)"
"FLY11.003.description","FLY11.003","white-green and light-yellow body, white-blue horns","бело-зелёное и светло-жёлтое тело, бело-голубые рога"
"FLY11.004.name","FLY11.004","Regia Vesparum (pink peach)","Regia Vesparum (розовый персик)"
"FLY11.004.description","FLY11.004","pink and brown body, pink horns","розово-коричневое тело, розовые рога"
"FLY12.name","FLY12","Aranea Caprae (violet avenger)","Aranea Caprae (фиолетовый мститель)"
"FLY12.description","FLY12","purple spine, blue horns, yellow antennae","фиолетовый хребет, синие рога, жёлтые антенны"
"FLY12.001.name","FLY12.001","Aranea Caprae (blue diamond)","Aranea Caprae (голубой бриллиант)"
"FLY12.001.description","FLY12.001","most of the bug is blue and light-blue","жук в основном голубой и светло-голубой"
"FLY12.002.name","FLY12.002","Aranea Caprae (spider-blue)","Aranea Caprae (пауко-синий)"
"FLY12.002.description","FLY12.002","green spine, blue and white horns, malachite antennae","зелёный хребет, синие и белые рога, малахитовые антенны"
"FLY12.003.name","FLY12.003","Aranea Caprae (chameleon)","Aranea Caprae (хамелеон)"
"FLY12.003.description","FLY12.003","light-brown spine, malachite antennae, chromic horns","светло-коричневый хребет, малахитовые антенны, хромовые рога"
"FLY12.004.name","FLY12.004","Aranea Caprae (drain-angel)","Aranea Caprae (дрен-ангел)"
"FLY12.004.description","FLY12.004","pink spine, deep-purple and dark-green horns, orange antennae","розовый хребет, тёмно-фиолетовые и тёмно-зелёные рога, оранжевые антенны"
"FLY13.name","FLY13","Struthio culex (dying-star)","Struthio culex (угасающая звезда)"
"FLY13.description","FLY13","iron spine, purple legs","железный хребет, фиолетовые ноги"
"FLY13.001.name","FLY13.001","Struthio culex (cyber-imperia)","Struthio culex (кибер-империя)"
"FLY13.001.description","FLY13.001","dark-iron spine, dark-teal legs","тёмно-железный хребет, тёмно-бирюзовые ноги"
"FLY13.002.name","FLY13.002","Struthio culex (swamp beast)","Struthio culex (болотный зверь)"
"FLY13.002.description","FLY13.002","swamp-green wings, malachite body","болотно-зелёные крылья, малахитовое тело"
"FLY13.003.name","FLY13.003","Struthio culex (angel-chameleon)","Struthio culex (ангел-хамелеон)"
"FLY13.003.description","FLY13.003","chromic wings, most of the bug is white","хромовые крылья, жук в основном белый"
"FLY13.004.name","FLY13.004","Struthio culex (steppen wolf)","Struthio culex (степной волк)"
"FLY13.004.description","FLY13.004","white body, light blue wings","белое тело, голубые крылья"
"FLY14.name","FLY14","Stultus magnus cimex est (Thanos)","Stultus magnus cimex est (Танос)"
"FLY14.description","FLY14","purple spine, light-blue body, golden wings","фиолетовый хребет, голубое тело, золотые крылья"
"FLY14.001.name","FLY14.001","Stultus magnus cimex est (shadow walker)","Stultus magnus cimex est (теневой странник)"
"FLY14.001.description","FLY14.001","blue spine, blue body, purple wings","синий хребет, синее тело, фиолетовые крылья"
"FLY14.002.name","FLY14.002","Stultus magnus cimex est (sapphire)","Stultus magnus cimex est (сапфир)"
"FLY14.002.description","FLY14.002","darkgreen spine, most of the bug is blue","тёмно-зелёный хребет, жук в основном синий"
"FLY14.003.name","FLY14.003","Stultus magnus cimex est (tropical hunter)","Stultus magnus cimex est (тропический охотник)"
"FLY14.003.description","FLY14.003","most of the bug is light green, dark green wings","жук в основном светло-зелёный, тёмно-зелёные крылья"
"FLY14.004.name","FLY14.004","Stultus magnus cimex est (the candybar)","Stultus magnus cimex est (шоколадка)"
"FLY14.004.description","FLY14.004","pink spine, purple body, iron wings","розовый хребет, фиолетовое тело, железные крылья"
"FLY15.name","FLY15","Scarabaeus exanimatio (queen bee)","Scarabaeus exanimatio (королева пчёл)"
"FLY15.description","FLY15","light-orange and brown body, light-blue wings","светло-оранжево-коричневое тело, голубые крылья"
"FLY15.001.name","FLY15.001","Scarabaeus exanimatio (dreambreaker)","Scarabaeus exanimatio (ломатель снов)"
"FLY15.001.description","FLY15.001","white-pink and iron body, white wings","бело-розово-железное тело, белые крылья"
"FLY15.002.name","FLY15.002","Scarabaeus exanimatio (frog-lester)","Scarabaeus exanimatio (лягушачий Лестер)"
"FLY15.002.description","FLY15.002","teal and white body, brown wings","бирюзово-белое тело, коричневые крылья"
"FLY15.003.name","FLY15.003","Scarabaeus exanimatio (chameleon)","Scarabaeus exanimatio (хамелеон)"
"FLY15.003.description","FLY15.003","chromic body, light green legs","хромовое тело, светло-зелёные ноги"
"FLY15.004.name","FLY15.004","Scarabaeus exanimatio (shadow walker)","Scarabaeus exanimatio (теневой странник)"
"FLY15.004.description","FLY15.004","brown wings, purple and dark-blue body","коричневые крылья, фиолетово-тёмно-синее тело"
"FLY16.name","FLY16","Bulla beetle (steppen wolf)","Bulla beetle (степной волк)"
"FLY16.description","FLY16","light blue spine, dark teal wings, orange head","голубой хребет, тёмно-бирюзовые крылья, оранжевая голова"
"FLY16.001.name","FLY16.001","Bulla beetle (the saint)","Bulla beetle (святая)"
"FLY16.001.description","FLY16.001","dark-blue spine, light-yellow wings, malachite head","тёмно-синий хребет, светло-жёлтые крылья, малахитовая голова"
"FLY16.002.name","FLY16.002","Bulla beetle (farmer)","Bulla beetle (фермер)"
"FLY16.002.description","FLY16.002","light-purple spine, white and orange wings","светло-фиолетовый хребет, бело-оранжевые крылья"
"FLY16.003.name","FLY16.003","Bulla beetle (frog-lester)","Bulla beetle (лягушачий Лестер)"
"FLY16.003.description","FLY16.003","most of the bug is green, light-bronze spine","жук в основном зелёный, светло-бронзовый хребет"
"FLY16.004.name","FLY16.004","Bulla beetle (cyber-stalker)","Bulla beetle (кибер-сталкер)"
"FLY16.004.description","FLY16.004","light-blue spine, dark-purple wings","светло-голубой хребет, тёмно-фиолетовые крылья"
"FLY17.name","FLY17","Circulus Beetle (the basic)","Circulus Beetle (базовый)"
"FLY17.description","FLY17","blue spine, green wings, white horns","синий хребет, зелёные крылья, белые рога"
"FLY17.001.name","FLY17.001","Circulus Beetle (god-bug)","Circulus Beetle (бог-жук)"
"FLY17.001.description","FLY17.001","white-pink spine, golden wings","бело-розовый хребет, золотые крылья"
"FLY17.002.name","FLY17.002","Circulus Beetle (crab-pod)","Circulus Beetle (краб-капсула)"
"FLY17.002.description","FLY17.002","orange spine, dark wings","оранжевый хребет, тёмные крылья"
"FLY17.003.name","FLY17.003","Circulus Beetle (the candybar)","Circulus Beetle (шоколадка)"
"FLY17.003.description","FLY17.003","pink spine, bone wings, emerald horns","розовый хребет, костяные крылья, изумрудные рога"
"FLY17.004.name","FLY17.004","Circulus Beetle (shadow stalker)","Circulus Beetle (теневой преследователь)"
"FLY17.004.description","FLY17.004","light purple spine, white-teal wings, purple horns","светло-фиолетовый хребет, бело-бирюзовые крылья, фиолетовые рога"
"FLY18.name","FLY18","Rana beetle (toxic waste)","Rana beetle (токсичные отходы)"
"FLY18.description","FLY18","most of the bug is blue and purple","жук в основном синий и фиолетовый"
"FLY18.001.name","FLY18.001","Rana beetle (iron smith)","Rana beetle (железный кузнец)"
"FLY18.001.description","FLY18.001","red spine, blue wings, yellow head","красный хребет, синие крылья, жёлтая голова"
"FLY18.002.name","FLY18.002","Rana beetle (dirt eater)","Rana beetle (поедатель грязи)"
"FLY18.002.description","FLY18.002","purple head, brown spine, dark-green wings","фиолетовая голова, коричневый хребет, тёмно-зелёные крылья"
"FLY18.003.name","FLY18.003","Rana beetle (sheeva)","Rana beetle (Шива)"
"FLY18.003.description","FLY18.003","ruby spine, purple wings, light-blue head","рубиновый хребет, фиолетовые крылья, светло-голубая голова"
"FLY18.004.name","FLY18.004","Rana beetle (god-bug)","Rana beetle (бог-жук)"
"FLY18.004.description","FLY18.004","golden bug, white-pink wings","золотой жук, бело-розовые крылья"
"FLY19.name","FLY19","Vesparum cervorum (lucaris)","Vesparum cervorum (Лукарис)"
"FLY19.description","FLY19","blue and white-blue body, brown wings, green horns","сине-бело-голубое тело, коричневые крылья, зелёные рога"
"FLY19.001.name","FLY19.001","Vesparum cervorum (iron smith)","Vesparum cervorum (железный кузнец)"
"FLY19.001.description","FLY19.001","red and gold body, white-blue wings, gold horns","красно-золотое тело, бело-голубые крылья, золотые рога"
"FLY19.002.name","FLY19.002","Vesparum cervorum (darkwood)","Vesparum cervorum (тёмный лес)"
"FLY19.002.description","FLY19.002","purple horns, brown body, white wings","фиолетовые рога, коричневое тело, белые крылья"
"FLY19.003.name","FLY19.003","Vesparum cervorum (red puppet)","Vesparum cervorum (красная марионетка)"
"FLY19.003.description","FLY19.003","red body, light-blue horns and wings","красное тело, светло-голубые рога и крылья"
"FLY19.004.name","FLY19.004","Vesparum cervorum (sphinx)","Vesparum cervorum (сфинкс)"
"FLY19.004.description","FLY19.004","teal and gold body, dark wings, teal horns","бирюзово-золотое тело, тёмные крылья, бирюзовые рога"
"FLY20.name","FLY20","Armadillo Beetle (horseman)","Armadillo Beetle (всадник)"
"FLY20.description","FLY20","brown and purple body, skeleton head","коричнево-фиолетовое тело, череп-голова"
"FLY20.001.name","FLY20.001","Armadillo Beetle (the saint)","Armadillo Beetle (святая)"
"FLY20.001.description","FLY20.001","light-brown and light-blue body, deep-teal head","светло-коричневое и светло-голубое тело, тёмно-бирюзовая голова"
"FLY20.002.name","FLY20.002","Armadillo Beetle (hophman paradigma)","Armadillo Beetle (парадигма Хофмана)"
"FLY20.002.description","FLY20.002","white-blue and dark-green body, red head, gold horns","бело-голубое и тёмно-зелёное тело, красная голова, золотые рога"
"FLY20.003.name","FLY20.003","Armadillo Beetle (snow white)","Armadillo Beetle (белоснежка)"
"FLY20.003.description","FLY20.003","most of the bug is white, brown head, sapphire horns","жук в основном белый, коричневая голова, сапфировые рога"
"FLY20.004.name","FLY20.004","Armadillo Beetle (sweet tooth)","Armadillo Beetle (сладкоежка)"
"FLY20.004.description","FLY20.004","chromic-pink body, deep-red head, light-green horns","хромово-розовое тело, тёмно-красная голова, светло-зелёные рога"
"FLY21.name","FLY21","Larva crassa est (the basic)","Larva crassa est (базовая)"
"FLY21.description","FLY21","white-yellow spine, light-blue wings, brown horns","бело-жёлтый хребет, голубые крылья, коричневые рога"
"FLY21.001.name","FLY21.001","Larva crassa est (ghost-mind)","Larva crassa est (призрачный разум)"
"FLY21.001.description","FLY21.001","light-blue horns, white wings and white body","светло-голубые рога, белые крылья и белое тело"
"FLY21.002.name","FLY21.002","Larva crassa est (seawood)","Larva crassa est (морская трава)"
"FLY21.002.description","FLY21.002","teal spine, orange wings, white horns","бирюзовый хребет, оранжевые крылья, белые рога"
"FLY21.003.name","FLY21.003","Larva crassa est (ocean lettuce)","Larva crassa est (морской салат)"
"FLY21.003.description","FLY21.003","deep-teal spine, white wings, orange head and horns","тёмно-бирюзовый хребет, белые крылья, оранжевая голова и рога"
"FLY21.004.name","FLY21.004","Larva crassa est (metroid)","Larva crassa est (метроид)"
"FLY21.004.description","FLY21.004","orange spine, brown wings, blue head, white horn","оранжевый хребет, коричневые крылья, синяя голова, белый рог"
"FLY22.name","FLY22","Custodia taurus scarabaeus (blue avenger)","Custodia taurus scarabaeus (голубой мститель)"
"FLY22.description","FLY22","light-blue spine, grey and blue wings, dark horns","светло-голубой хребет, серо-синие крылья, тёмные рога"
"FLY22.001.name","FLY22.001","Custodia taurus Scarabaeus (iron smith)","Custodia taurus Scarabaeus (железный кузнец)"
"FLY22.001.description","FLY22.001","red and dark-grey wings, white spine, gold center","красные и тёмно-серые крылья, белый хребет, золотой центр"
"FLY22.002.name","FLY22.002","Custodia taurus Scarabaeus (sandstorm)","Custodia taurus Scarabaeus (песчаная буря)"
"FLY22.002.description","FLY22.002","brown and light-brown wings, brown head, orange and blue spine","коричневые и светло-коричневые крылья, коричневая голова, оранжево-синий хребет"
"FLY22.003.name","FLY22.003","Custodia taurus Scarabaeus (hyper-being)","Custodia taurus Scarabaeus (гипер-существо)"
"FLY22.003.description","FLY22.003","white spine, red and light-teal wings, light-teal head","белый хребет, красные и светло-бирюзовые крылья, светло-бирюзовая голова"
"FLY22.004.name","FLY22.004","Custodia taurus Scarabaeus (thanos)","Custodia taurus Scarabaeus (Танос)"
"FLY22.004.description","FLY22.004","purple and gold wings, purple head, light-brown spine","фиолетово-золотые крылья, фиолетовая голова, светло-коричневый хребет"
"FLY23.name","FLY23","La Scarabei сursor (arctic fellow)","La Scarabei cursor (арктический товарищ)"
"FLY23.description","FLY23","grey center, teal-blue wings, white horns, black antennae","серый центр, бирюзово-синие крылья, белые рога, чёрные антенны"
"FLY23.001.name","FLY23.001","La Scarabei сursor (caveman)","La Scarabei cursor (пещерный человек)"
"FLY23.001.description","FLY23.001","light-green center, red and blue body, bone antennae","светло-зелёный центр, красно-синее тело, костяные антенны"
"FLY23.002.name","FLY23.002","La Scarabei сursor (tropical hunter)","La Scarabei cursor (тропический охотник)"
"FLY23.002.description","FLY23.002","gold center, brown and green body, deep-gold antennae","золотой центр, коричнево-зелёное тело, тёмно-золотые антенны"
"FLY23.003.name","FLY23.003","La Scarabei сursor (iron smith)","La Scarabei cursor (железный кузнец)"
"FLY23.003.description","FLY23.003","dark center, purple antennae, gold and red body","тёмный центр, фиолетовые антенны, красно-золотое тело"
"FLY23.004.name","FLY23.004","La Scarabei сursor (the saint)","La Scarabei cursor (святая)"
"FLY23.004.description","FLY23.004","white and gold body, teal antennae","бело-золотое тело, бирюзовые антенны"
"FLY24.name","FLY24","Insectorum thoracem laneum (soft bug)","Insectorum thoracem laneum (мягкий жук)"
"FLY24.description","FLY24","purple wings, light-pink spine, white body","фиолетовые крылья, светло-розовый хребет, белое тело"
"FLY24.001.name","FLY24.001","Insectorum thoracem laneum (metalslug)","Insectorum thoracem laneum (метал слаг)"
"FLY24.001.description","FLY24.001","iron body, white-blue wings, white spine","железное тело, бело-голубые крылья, белый хребет"
"FLY24.002.name","FLY24.002","Insectorum thoracem laneum (azure-emerald)","Insectorum thoracem laneum (лазурно-изумрудный)"
"FLY24.002.description","FLY24.002","teal spine, deep-teal body, dark-green wings","бирюзовый хребет, тёмно-бирюзовое тело, тёмно-зелёные крылья"
"FLY24.003.name","FLY24.003","Insectorum thoracem laneum (chronosphere)","Insectorum thoracem laneum (хроносфера)"
"FLY24.003.description","FLY24.003","light-gold wings, white-teal body, grey spine","светло-золотые крылья, бело-бирюзовое тело, серый хребет"
"FLY24.004.name","FLY24.004","Insectorum thoracem laneum (the basic)","Insectorum thoracem laneum (базовый)"
"FLY24.004.description","FLY24.004","dark spine, gold wings, iron body","тёмный хребет, золотые крылья, железное тело"
